YEAR	indstr	pop	pct	chgfrmFirst	stateName	stateAbbr	maxInd
1940	Agriculture and mining	9053063	0.190212573	0	National		
1950	Agriculture and mining	2243304	0.111201533	-0.07901104	National		
1960	Agriculture and mining	5570940	0.072252939	-0.117959635	National		
1970	Agriculture and mining	8177700	0.043951998	-0.146260575	National		
1980	Agriculture and mining	4726600	0.041139634	-0.149072939	National		
1990	Agriculture and mining	3696161	0.027438069	-0.162774504	National		
2000	Agriculture and mining	2875257	0.018731143	-0.17148143	National		
2001	Agriculture and mining	2690021	0.01770674	-0.172505834	National		
2002	Agriculture and mining	2774385	0.017923832	-0.172288742	National		
2003	Agriculture and mining	2661984	0.017099822	-0.173112751	National		
2004	Agriculture and mining	2714023	0.017217854	-0.172994719	National		
2005	Agriculture and mining	2718707	0.01700614	-0.173206434	National		
2006	Agriculture and mining	2925346	0.017767268	-0.172445305	National		
2007	Agriculture and mining	2956560	0.017871932	-0.172340642	National		
2008	Agriculture and mining	3006550	0.018103876	-0.172108697	National		
2009	Agriculture and mining	3062208	0.018431283	-0.17178129	National		
2010	Agriculture and mining	3110559	0.018766794	-0.171445779	National		
2011	Agriculture and mining	3199309	0.019276477	-0.170936096	National		
2012	Agriculture and mining	3279828	0.019719161	-0.170493412	National		
2013	Agriculture and mining	3330667	0.019991315	-0.170221259	National		
2014	Agriculture and mining	3362452	0.020089778	-0.170122795	National		
2015	Agriculture and mining	3319506	0.019739401	-0.170473173	National		
1940	Arts, food, and other services	5394196	0.113336658	0	National		
1950	Arts, food, and other services	1859029	0.092152858	-0.0211838	National		
1960	Arts, food, and other services	6325920	0.082044737	-0.03129192	National		
1970	Arts, food, and other services	15202900	0.081709751	-0.031626906	National		
1980	Arts, food, and other services	7359260	0.064053921	-0.049282737	National		
1990	Arts, food, and other services	9282847	0.068910255	-0.044426403	National		
2000	Arts, food, and other services	20127084	0.131119859	0.017783201	National		
2001	Arts, food, and other services	19229346	0.126574857	0.013238199	National		
2002	Arts, food, and other services	20167317	0.130290351	0.016953693	National		
2003	Arts, food, and other services	20796418	0.133590227	0.020253569	National		
2004	Arts, food, and other services	21475519	0.136241422	0.022904764	National		
2005	Arts, food, and other services	21619046	0.13523212	0.021895463	National		
2006	Arts, food, and other services	22842726	0.138736697	0.02540004	National		
2007	Arts, food, and other services	23186966	0.140161497	0.026824839	National		
2008	Arts, food, and other services	23439995	0.141143428	0.02780677	National		
2009	Arts, food, and other services	24424791	0.147011645	0.033674987	National		
